GEOID,NAME
26029001000,"Census Tract 10, Charlevoix County, Michigan"
26029001100,"Census Tract 11, Charlevoix County, Michigan"
26029001200,"Census Tract 12, Charlevoix County, Michigan"
26029001300,"Census Tract 13, Charlevoix County, Michigan"
26029001400,"Census Tract 14, Charlevoix County, Michigan"
26029001500,"Census Tract 15, Charlevoix County, Michigan"
26029990000,"Census Tract 9900, Charlevoix County, Michigan"
26031960100,"Census Tract 9601, Cheboygan County, Michigan"
26031960200,"Census Tract 9602, Cheboygan County, Michigan"
26031960300,"Census Tract 9603, Cheboygan County, Michigan"
26031960400,"Census Tract 9604, Cheboygan County, Michigan"
26031960500,"Census Tract 9605, Cheboygan County, Michigan"
26031960600,"Census Tract 9606, Cheboygan County, Michigan"
26031960700,"Census Tract 9607, Cheboygan County, Michigan"
26031960800,"Census Tract 9608, Cheboygan County, Michigan"
26031990000,"Census Tract 9900, Cheboygan County, Michigan"
26033970100,"Census Tract 9701, Chippewa County, Michigan"
26033970200,"Census Tract 9702, Chippewa County, Michigan"
26033970300,"Census Tract 9703, Chippewa County, Michigan"
26033970400,"Census Tract 9704, Chippewa County, Michigan"
26033970500,"Census Tract 9705, Chippewa County, Michigan"
26033970600,"Census Tract 9706, Chippewa County, Michigan"
26033970700,"Census Tract 9707, Chippewa County, Michigan"
26033970800,"Census Tract 9708, Chippewa County, Michigan"
26033970900,"Census Tract 9709, Chippewa County, Michigan"
26033971000,"Census Tract 9710, Chippewa County, Michigan"
26033971100,"Census Tract 9711, Chippewa County, Michigan"
26033980100,"Census Tract 9801, Chippewa County, Michigan"
26033980200,"Census Tract 9802, Chippewa County, Michigan"
26033980300,"Census Tract 9803, Chippewa County, Michigan"
26033990000,"Census Tract 9900, Chippewa County, Michigan"
26033990100,"Census Tract 9901, Chippewa County, Michigan"
26035000100,"Census Tract 1, Clare County, Michigan"
26035000200,"Census Tract 2, Clare County, Michigan"
26035000300,"Census Tract 3, Clare County, Michigan"
26035000400,"Census Tract 4, Clare County, Michigan"
26035000500,"Census Tract 5, Clare County, Michigan"
26035000600,"Census Tract 6, Clare County, Michigan"
26035000700,"Census Tract 7, Clare County, Michigan"
26035000800,"Census Tract 8, Clare County, Michigan"
26035000900,"Census Tract 9, Clare County, Michigan"
26035001000,"Census Tract 10, Clare County, Michigan"
26035001300,"Census Tract 13, Clare County, Michigan"
26037010104,"Census Tract 101.04, Clinton County, Michigan"
26037010105,"Census Tract 101.05, Clinton County, Michigan"
26037010107,"Census Tract 101.07, Clinton County, Michigan"
26037010108,"Census Tract 101.08, Clinton County, Michigan"
26037010201,"Census Tract 102.01, Clinton County, Michigan"
26037010203,"Census Tract 102.03, Clinton County, Michigan"
26037010204,"Census Tract 102.04, Clinton County, Michigan"
26037010300,"Census Tract 103, Clinton County, Michigan"
26037010400,"Census Tract 104, Clinton County, Michigan"
26037010500,"Census Tract 105, Clinton County, Michigan"
26037010600,"Census Tract 106, Clinton County, Michigan"
26037010701,"Census Tract 107.01, Clinton County, Michigan"
26037010702,"Census Tract 107.02, Clinton County, Michigan"
26037010801,"Census Tract 108.01, Clinton County, Michigan"
26037010802,"Census Tract 108.02, Clinton County, Michigan"
26037010901,"Census Tract 109.01, Clinton County, Michigan"
26037010902,"Census Tract 109.02, Clinton County, Michigan"
26037011001,"Census Tract 110.01, Clinton County, Michigan"
26037011002,"Census Tract 110.02, Clinton County, Michigan"
26037011101,"Census Tract 111.01, Clinton County, Michigan"
26037011104,"Census Tract 111.04, Clinton County, Michigan"
26037011200,"Census Tract 112, Clinton County, Michigan"
26039960100,"Census Tract 9601, Crawford County, Michigan"
26039960200,"Census Tract 9602, Crawford County, Michigan"
26039960300,"Census Tract 9603, Crawford County, Michigan"
26039960400,"Census Tract 9604, Crawford County, Michigan"
26039960500,"Census Tract 9605, Crawford County, Michigan"
26041970100,"Census Tract 9701, Delta County, Michigan"
